status	area	files	summary	next_step
done	repo_map	src/octopus/core.py;src/octopus/discovery.py;src/octopus/pool.py;src/octopus/adapters/onnx_rt.py	Mapped main execution path: API in core, sizing in discovery, Ray launch in pool, ORT serialization/device load in onnx_rt.	Use these files first for future parallelism changes.
done	flow_a_api	src/octopus/core.py;src/octopus/discovery.py;README.md	Added `workers_per_gpu` to support Flow A: one worker per usable GPU with same `submit/gather` loop API.	Validate same pattern on PyTorch and AIMET_ONNX in clean GPU environment.
done	flow_b_api	src/octopus/core.py;src/octopus/discovery.py	Kept Flow B on same wrapper syntax via `max_workers=K` or auto-pack when omitted.	Decide whether to add higher-level aliases like `mode="shared"` / `mode="packed"`.
done	ort_model_bundle	src/octopus/adapters/onnx_rt.py	Changed ORT adapter to bundle `.onnx` plus sidecar files like `.onnx.data`, restore them in worker temp dir, and keep backward compatibility for old raw-byte payloads.	Reuse same bundle approach anywhere else external-data ONNX artifacts move across workers.
done	ort_numeric_stability	src/octopus/adapters/onnx_rt.py	Disabled TF32 in ORT CUDA provider so ORT GPU output matches CPU/PyTorch tolerance in tests.	Keep if exact-ish numeric regression tests remain required.
done	ray_gpu_assignment	src/octopus/pool.py;src/octopus/core.py	Removed manual `CUDA_VISIBLE_DEVICES` override from package-managed worker launch so Ray owns GPU assignment; this fixed actor crashes in ORT GPU tests.	Apply same rule to any new worker launch paths unless there is a strong reason not to.
done	ray_fraction_guard	src/octopus/discovery.py	Capped per-GPU worker count at 10,000 to avoid Ray `num_gpus` fractional precision failure.	If ultra-dense packing matters, redesign resource accounting instead of smaller fractions.
done	tests_added	tests/test_adapters.py;tests/test_discovery.py	Added unit coverage for ORT external-data bundling, worker-per-GPU cap, and Ray fraction cap.	Extend tests around true sharding/model-sharing path next.
done	ort_gpu_validation	tests/test_gpu_ort.py	Updated ORT GPU tests to use bundle-based adapter state and package-compatible Ray launch. Result: ORT GPU suite passes.	Keep as regression suite for ORT path.
done	docs	README.md;pyproject.toml	Documented `workers_per_gpu` and registered `sensitivity` pytest marker.	Expand docs with explicit AIMET_ONNX / PyTorch examples if needed.
done	pytorch_gpu_e2e	tests/test_gpu_pytorch.py	Re-verified PyTorch GPU path in two batches after fixing stale tests: removed manual `CUDA_VISIBLE_DEVICES`, bounded pathological tiny-model worker counts, and corrected device-local numeric check.	Keep `RAY_TMPDIR` short in this env when running GPU suites.
done	pytorch_pp_model_sharing_n_gpus	src/octopus/core.py;src/octopus/pool.py;src/octopus/worker.py;src/octopus/sharding/pipeline_parallel.py;tests/test_gpu_pytorch.py	Shared-model multi-GPU runtime now works for PyTorch with `sharding_strategy="pp"`: direct 2-GPU shard-group smoke passed and `Octopus(..., sharding_strategy="pp", max_workers=2)` passed with simple `map/submit/gather` syntax.	If public API should be even simpler, add helper alias for shared-model mode later.
done	pytorch_pp_parallel_model_workers	src/octopus/core.py;src/octopus/pool.py;src/octopus/worker.py;tests/test_gpu_pytorch.py	Validated combined flow "1 model across N GPUs with K workers" for PyTorch PP by running multiple shard groups in parallel through same loop wrapper API.	Extend same support to more model families only if real sharding backend exists.
done	shard_group_gpu_ids	src/octopus/_types.py;src/octopus/discovery.py;src/octopus/pool.py;tests/test_discovery.py;tests/test_pool.py	Shard groups now keep actual planned GPU ids instead of reconstructing bogus contiguous ranges in pool startup.	Reuse `shard_device_ids` for any future topology-aware placement work.
done	tp_runtime_enable_pytorch	src/octopus/sharding/tensor_parallel.py;src/octopus/core.py;src/octopus/worker.py;tests/test_core_integration.py;tests/test_gpu_pytorch.py	Replaced blocked TP path with real single-process multi-GPU TP runtime for PyTorch `nn.Sequential` linear stacks, enabled constructor/runtime support for `sharding_strategy="tp"` on PyTorch, and added constructor + GPU runtime tests.	Keep TP scope explicit in docs; extend beyond Sequential models in future if needed.
done	pp_runtime_tests	tests/test_gpu_pytorch.py;tests/test_core_integration.py	Added runtime GPU tests for pipeline-parallel shared model and unit tests for sharding guardrails.	Maintain both PP and TP constructor/runtime coverage as support matrix evolves.
